"time","cpu_with_attack","cpu_without_attack"
2023-06-20 16:32:00,0,0
2023-06-20 16:32:15,0,0
2023-06-20 16:32:30,0,0
2023-06-20 16:32:45,0,0
2023-06-20 16:33:00,0,0
2023-06-20 16:33:15,0,0
2023-06-20 16:33:30,0,0
2023-06-20 16:33:45,0.0562,0
2023-06-20 16:34:00,0.0658,0.0230
2023-06-20 16:34:15,0.0792,0.114
2023-06-20 16:34:30,0.0824,0.136
2023-06-20 16:34:45,0.0670,0.191
2023-06-20 16:35:00,0.0660,0.187
2023-06-20 16:35:15,0.0533,0.155
2023-06-20 16:35:30,0.0387,0.188
2023-06-20 16:35:45,0.0381,0.191
2023-06-20 16:36:00,0.0380,0.188
2023-06-20 16:36:15,0.0404,0.196
2023-06-20 16:36:30,0.0432,0.197
2023-06-20 16:36:45,0.0409,0.168
2023-06-20 16:37:00,0.0391,0.194
2023-06-20 16:37:15,0.0364,0.198
2023-06-20 16:37:30,0.0422,0.201
2023-06-20 16:37:45,0.0409,0.197
2023-06-20 16:38:00,0.0392,0.190
2023-06-20 16:38:15,0.0376,0.190
2023-06-20 16:38:30,0.0371,0.190
2023-06-20 16:38:45,0.0398,0.189
2023-06-20 16:39:00,0.0276,0.158
2023-06-20 16:39:15,0.0367,0.195
2023-06-20 16:39:30,0.0368,0.191
2023-06-20 16:39:45,0.0391,0.186
2023-06-20 16:40:00,0.0393,0.190
2023-06-20 16:40:15,0.0409,0.196
2023-06-20 16:40:30,0.0404,0.199
2023-06-20 16:40:45,0.0399,0.195
2023-06-20 16:41:00,0.0344,0.194
2023-06-20 16:41:15,0.0352,0.191
2023-06-20 16:41:30,0.0349,0.193
2023-06-20 16:41:45,0.0389,0.192
2023-06-20 16:42:00,0.0381,0.194
2023-06-20 16:42:15,0.0402,0.195
2023-06-20 16:42:30,0.0376,0.192
2023-06-20 16:42:45,0.0510,0.195
2023-06-20 16:43:00,0.0607,0.194
2023-06-20 16:43:15,0.0617,0.197
2023-06-20 16:43:30,0.0657,0.193
2023-06-20 16:43:45,0.0600,0.189
2023-06-20 16:44:00,0.0483,0.189
2023-06-20 16:44:15,0.0431,0.164
2023-06-20 16:44:30,0.0298,0.194
2023-06-20 16:44:45,0.0328,0.195
2023-06-20 16:45:00,0.0266,0.184
2023-06-20 16:45:15,0.0376,0.188
2023-06-20 16:45:30,0.0401,0.190
2023-06-20 16:45:45,0.0460,0.199
2023-06-20 16:46:00,0.0463,0.192
2023-06-20 16:46:15,0.0489,0.188
2023-06-20 16:46:30,0.0510,0.163
2023-06-20 16:46:45,0.0522,0.189
2023-06-20 16:47:00,0.0486,0.182
2023-06-20 16:47:15,0.0367,0.149
2023-06-20 16:47:30,0.0413,0.192
2023-06-20 16:47:45,0.0442,0.169
2023-06-20 16:48:00,0.0431,0.123
2023-06-20 16:48:15,0.0458,0.137
2023-06-20 16:48:30,0.0351,0.120
2023-06-20 16:48:45,0.0255,0.163
2023-06-20 16:49:00,0.0130,0.154
2023-06-20 16:49:15,0.000134,0.0996
2023-06-20 16:49:30,0.0000526,0.0387
2023-06-20 16:49:45,0,0
2023-06-20 16:50:00,0,0
2023-06-20 16:50:15,0,0
2023-06-20 16:50:30,0,0