"time","memory_with_attack","memory_without_attack"
2023-06-26 16:16:00,0,0
2023-06-26 16:16:15,0,0
2023-06-26 16:16:30,0,38796
2023-06-26 16:16:45,0,285283
2023-06-26 16:17:00,0,368845
2023-06-26 16:17:15,0,435859
2023-06-26 16:17:30,0,249893
2023-06-26 16:17:45,0,301671
2023-06-26 16:18:00,0,256053
2023-06-26 16:18:30,163760,3759
2023-06-26 16:18:45,357307,4396
2023-06-26 16:19:00,144993,4091
2023-06-26 16:19:15,524,273550
2023-06-26 16:19:30,243236,485963
2023-06-26 16:19:45,155347,480363
2023-06-26 16:20:00,131,365729
2023-06-26 16:20:15,71.0,496
2023-06-26 16:20:30,0,1004
2023-06-26 16:20:45,0,366
2023-06-26 16:21:00,0,276
2023-06-26 16:21:15,734,0
2023-06-26 16:21:30,164991,367
2023-06-26 16:21:45,310898,538
2023-06-26 16:22:00,301526,1063
2023-06-26 16:22:15,164910,261821
2023-06-26 16:22:30,196514,221548
2023-06-26 16:22:45,368985,465151
2023-06-26 16:23:00,335902,249213
2023-06-26 16:23:15,311674,292391
2023-06-26 16:23:30,159770,4675
2023-06-26 16:23:45,179801,4796
2023-06-26 16:24:00,371,272610
2023-06-26 16:24:15,314,266429
2023-06-26 16:24:30,90.9,231166
2023-06-26 16:24:45,0,267926
2023-06-26 16:25:00,0,256919
2023-06-26 16:25:15,158656,224331
2023-06-26 16:25:30,320335,2047
2023-06-26 16:25:45,261817,259191
2023-06-26 16:26:00,133768,548749
2023-06-26 16:26:15,152863,680824
2023-06-26 16:26:30,146345,834420
2023-06-26 16:26:45,169461,815827
2023-06-26 16:27:00,718,584341
2023-06-26 16:27:15,153564,417101
2023-06-26 16:27:30,162881,1744
2023-06-26 16:27:45,142100,209
2023-06-26 16:28:00,1035,828
2023-06-26 16:28:15,146206,841
2023-06-26 16:28:30,159608,273696
2023-06-26 16:28:45,150008,512704
2023-06-26 16:29:00,0,714215
2023-06-26 16:29:15,0,767112
2023-06-26 16:29:30,0,714687
2023-06-26 16:29:45,0,507970
2023-06-26 16:30:00,0,262592
2023-06-26 16:30:15,0,345
2023-06-26 16:30:30,0,262
2023-06-26 16:30:45,0,322269
2023-06-26 16:31:00,0,358547
2023-06-26 16:31:15,0,424844
2023-06-26 16:31:30,0,435854
2023-06-26 16:31:45,0,688727
2023-06-26 16:32:00,0,792598
2023-06-26 16:32:15,0,758043
2023-06-26 16:32:30,0,298916
2023-06-26 16:32:45,0,0
2023-06-26 16:33:00,0,0
2023-06-26 16:33:15,0,0
2023-06-26 16:33:30,0,0